Date,Incidents
1990-01-01,872.67
1991-01-01,862.42
1992-01-01,854.14
1993-01-01,847.84
1994-01-01,843.66
1995-01-01,841.74
1996-01-01,843.54
1997-01-01,849.28
1998-01-01,856.36
1999-01-01,861.81
2000-01-01,864.04
2001-01-01,864.07
2002-01-01,863.27
2003-01-01,861.66
2004-01-01,859.49
2005-01-01,856.93
2006-01-01,852.59
2007-01-01,845.82
2008-01-01,837.93
2009-01-01,830.26
2010-01-01,824.12
2011-01-01,817.83
2012-01-01,809.95
2013-01-01,802.18
2014-01-01,796.24
2015-01-01,793.87
2016-01-01,815.62
2017-01-01,837.94
2018-01-01,836.6
2019-01-01,827.83
